name,area_enfoque
VELLSAM MATERIAS BIOACTIVAS S.L.,Nutrición vegetal
VIAGRO,Nutrición vegetal / Sanidad vegetal
VIREX TECHNOLOGIES S.L.,Servicios I+D
VisualNAcert S.L.,Agrotech/TICs
XTREM BIOTECH,Nutrición vegetal / Sanidad vegetal
AIMPLAS,Asociación de Investigación de Materiales Plásticos y Conexas
AINIA,Centro Tecnológico AINIA
CEP,Consejo Europeo del Pistacho
EURECAT,Centro Tecnológico EURECAT
CARTIF,Centro Tecnológico CARTIF
FUNDACIÓN MEDINA,Fundación MEDINA
FUNDITEC,Fundación para el Desarrollo y la Innovación Tecnológica
GRUPO COOPERATIVO CAJAMAR,
INNOVPLANT PROTECT,
LEITAT,Instituto Tecnológico
SPEGC,Sociedad de Promoción Económica de Gran Canaria S.A.
CBGP,Centro de Biotecnología y Genómica de Plantas
CIALE,Instituto de Investigación en Agrobiotecnología
CIDSAV-UDG,Centro de Innovación y Desarrollo en Sanidad Vegetal
CITA,Centro de Investigación y Tecnología Agroalimentaria de Aragón
CRAG,Centro de Investigación en Agrigenómica
CSIC,Consejo Superior de Investigaciones Científicas
CTAEX,Centro Tecnológico Agroalimentario Extremadura
IA2,Instituto Agroalimentario de Aragón
IFAPA,Instituto de Investigación y Formación Agraria y Pesquera de Andalucía
IMIDA,Instituto Murciano de Investigación y Desarrollo Agrario y Alimentario
INAGEA,Instituto de Investigaciones Agroambientales y de Economía del Agua
INIA,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria
IRIAF,Instituto Regional de Investigación y Desarrollo Agroalimentario y Forestal de Castilla-La Mancha
IRTA,Instituto de Investigación y Tecnología Agroalimentaria
IVIA,Instituto Valenciano de Investigaciones Agrarias
NEIKER,Instituto Vasco de Investigación y Desarrollo Agrario
SERIDA,Servicio Regional de Investigación y Desarrollo Agroalimentario del Principado de Asturias
UA,Universidad de Alicante
UAL,Universidad de Almería
UCM,Máster Universitario en Biología Vegetal Aplicada por la Universidad Complutense de Madrid
ETSIAMB-UCLM,"Escuela Técnica Superior de Ingenieros Agrónomos y Montes de
Albacete – Universidad de Castilla-La Mancha"
AgrotecUV,Universidad de Valencia
